report,iso3,version
aaa_pull_naomi_estimates,AGO,2022
aaa_pull_naomi_estimates,BWA,2022
aaa_pull_naomi_estimates,SWZ,2022
aaa_pull_naomi_estimates,ETH,2022
aaa_pull_naomi_estimates,KEN,2022
aaa_pull_naomi_estimates,LSO,2022
aaa_pull_naomi_estimates,MWI,2022
aaa_pull_naomi_estimates,MOZ,2022
aaa_pull_naomi_estimates,NAM,2022
aaa_pull_naomi_estimates,RWA,2022
aaa_pull_naomi_estimates,ZAF,2022
aaa_pull_naomi_estimates,SSD,2022
aaa_pull_naomi_estimates,UGA,2022
aaa_pull_naomi_estimates,TZA,2022
aaa_pull_naomi_estimates,ZMB,2022
aaa_pull_naomi_estimates,ZWE,2022
aaa_pull_naomi_estimates,BEN,2022
aaa_pull_naomi_estimates,BFA,2022
aaa_pull_naomi_estimates,BDI,2022
aaa_pull_naomi_estimates,CMR,2022
aaa_pull_naomi_estimates,CAF,2022
aaa_pull_naomi_estimates,TCD,2022
aaa_pull_naomi_estimates,COG,2022
aaa_pull_naomi_estimates,CIV,2022
aaa_pull_naomi_estimates,COD,2022
aaa_pull_naomi_estimates,GNQ,2022
aaa_pull_naomi_estimates,GAB,2022
aaa_pull_naomi_estimates,GMB,2022
aaa_pull_naomi_estimates,GHA,2022
aaa_pull_naomi_estimates,GIN,2022
aaa_pull_naomi_estimates,GNB,2022
aaa_pull_naomi_estimates,LBR,2022
aaa_pull_naomi_estimates,MLI,2022
aaa_pull_naomi_estimates,NER,2022
aaa_pull_naomi_estimates,NGA,2022
aaa_pull_naomi_estimates,SEN,2022
aaa_pull_naomi_estimates,SLE,2022
aaa_pull_naomi_estimates,TGO,2022
