report,iso3,version
aaa_areas_pull_static,AGO,2023
aaa_areas_pull_static,BWA,2023
aaa_areas_pull_static,SWZ,2023
aaa_areas_pull_static,ETH,2023
aaa_areas_pull_static,KEN,2023
aaa_areas_pull_static,LSO,2023
aaa_areas_pull_static,MWI,2023
aaa_areas_pull_static,MOZ,2023
aaa_areas_pull_static,NAM,2023
aaa_areas_pull_static,RWA,2023
aaa_areas_pull_static,ZAF,2023
aaa_areas_pull_static,SSD,2023
aaa_areas_pull_static,UGA,2023
aaa_areas_pull_static,TZA,2023
aaa_areas_pull_static,ZMB,2023
aaa_areas_pull_static,ZWE,2023
aaa_areas_pull_static,BEN,2023
aaa_areas_pull_static,BFA,2023
aaa_areas_pull_static,BDI,2023
aaa_areas_pull_static,CMR,2023
aaa_areas_pull_static,CAF,2023
aaa_areas_pull_static,TCD,2023
aaa_areas_pull_static,COG,2023
aaa_areas_pull_static,CIV,2023
aaa_areas_pull_static,COD,2023
aaa_areas_pull_static,GNQ,2023
aaa_areas_pull_static,GAB,2023
aaa_areas_pull_static,GMB,2023
aaa_areas_pull_static,GHA,2023
aaa_areas_pull_static,GIN,2023
aaa_areas_pull_static,GNB,2023
aaa_areas_pull_static,LBR,2023
aaa_areas_pull_static,MLI,2023
aaa_areas_pull_static,NER,2023
aaa_areas_pull_static,NGA,2023
aaa_areas_pull_static,SEN,2023
aaa_areas_pull_static,SLE,2023
aaa_areas_pull_static,TGO,2023
