report,iso3,version
aaa_areas_pull,AGO,2021
aaa_areas_pull,BWA,2021
aaa_areas_pull,SWZ,2021
aaa_areas_pull,ETH,2021
aaa_areas_pull,KEN,2021
aaa_areas_pull,LSO,2021
aaa_areas_pull,MWI,2021
aaa_areas_pull,MOZ,2021
aaa_areas_pull,NAM,2021
aaa_areas_pull,RWA,2021
aaa_areas_pull,ZAF,2021
aaa_areas_pull,SSD,2021
aaa_areas_pull,UGA,2021
aaa_areas_pull,TZA,2021
aaa_areas_pull,ZMB,2021
aaa_areas_pull,ZWE,2021
aaa_areas_pull,BEN,2021
aaa_areas_pull,BFA,2021
aaa_areas_pull,BDI,2021
aaa_areas_pull,CMR,2021
aaa_areas_pull,CAF,2021
aaa_areas_pull,TCD,2021
aaa_areas_pull,COG,2021
aaa_areas_pull,CIV,2021
aaa_areas_pull,COD,2021
aaa_areas_pull,GNQ,2021
aaa_areas_pull,GAB,2021
aaa_areas_pull,GMB,2021
aaa_areas_pull,GHA,2021
aaa_areas_pull,GIN,2021
aaa_areas_pull,GNB,2021
aaa_areas_pull,LBR,2021
aaa_areas_pull,MLI,2021
aaa_areas_pull,NER,2021
aaa_areas_pull,NGA,2021
aaa_areas_pull,SEN,2021
aaa_areas_pull,SLE,2021
aaa_areas_pull,TGO,2021
