report,iso3,version
aaa_data_population_worldpop,AGO,2021
aaa_data_population_worldpop,BWA,2021
aaa_data_population_worldpop,SWZ,2021
aaa_data_population_worldpop,ETH,2021
aaa_data_population_worldpop,KEN,2021
aaa_data_population_worldpop,LSO,2021
aaa_data_population_worldpop,MWI,2021
aaa_data_population_worldpop,MOZ,2021
aaa_data_population_worldpop,NAM,2021
aaa_data_population_worldpop,RWA,2021
aaa_data_population_worldpop,ZAF,2021
aaa_data_population_worldpop,SSD,2021
aaa_data_population_worldpop,UGA,2021
aaa_data_population_worldpop,TZA,2021
aaa_data_population_worldpop,ZMB,2021
aaa_data_population_worldpop,ZWE,2021
aaa_data_population_worldpop,BEN,2021
aaa_data_population_worldpop,BFA,2021
aaa_data_population_worldpop,BDI,2021
aaa_data_population_worldpop,CMR,2021
aaa_data_population_worldpop,CAF,2021
aaa_data_population_worldpop,TCD,2021
aaa_data_population_worldpop,COG,2021
aaa_data_population_worldpop,CIV,2021
aaa_data_population_worldpop,COD,2021
aaa_data_population_worldpop,GNQ,2021
aaa_data_population_worldpop,GAB,2021
aaa_data_population_worldpop,GMB,2021
aaa_data_population_worldpop,GHA,2021
aaa_data_population_worldpop,GIN,2021
aaa_data_population_worldpop,GNB,2021
aaa_data_population_worldpop,LBR,2021
aaa_data_population_worldpop,MLI,2021
aaa_data_population_worldpop,NER,2021
aaa_data_population_worldpop,NGA,2021
aaa_data_population_worldpop,SEN,2021
aaa_data_population_worldpop,SLE,2021
aaa_data_population_worldpop,TGO,2021
